,0
0,1.3000000000000003
1,2.5000000000000004
2,4.8
3,4.3
4,3.3000000000000003
5,4.9
6,1.7000000000000002
7,1.1
8,0.5
9,1.3000000000000003
10,0.4
11,0.2
